accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,time,urban_or_rural_area,weather_conditions,vehicle_type
BS0000204,19-05-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,18:44,Urban,Fine no high winds,Car
BS0000266,19-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,13:35,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
BS0000270,19-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,13:11,Urban,Fine no high winds,Car
BS0000338,19-07-2021,Sunday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,11:58,Urban,Fine no high winds,Car
BS0000435,19-09-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,One way street,30,17:30,Urban,Fine no high winds,Car
BS0000436,19-09-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,20:25,Urban,Fine no high winds,Motorcycle over 500cc
BS0000437,19-09-2021,Saturday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Dual carriageway,30,1:15,Urban,Fine no high winds,Car
BS0000036,20-01-2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,13:27,Urban,Fine no high winds,Car
BS0000104,20-01-2021,Tuesday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,22:15,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000060,20-02-2021,Friday,Give way or uncontrolled,Roundabout,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Roundabout,30,23:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000077,20-02-2021,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000088,20-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000100,20-03-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:59,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000102,20-03-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,3,Metropolitan Police,Dry,One way street,30,20:18,Urban,Fine no high winds,Car
BS0000103,20-03-2021,Friday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,15:00,Urban,Fine no high winds,Taxi/Private hire car
BS0000153,20-04-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000155,20-04-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,17:10,Urban,Fine no high winds,Car
BS0000159,20-04-2021,Monday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,17:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000212,20-05-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,18:20,Urban,Fine no high winds,Car
